dataset,source,source_url,fiscal_year,cal_year,month,city,area,category,metric,value,unit,note
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-11,,,館山市,,イノシシ,被害金額,7000,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-10,,,館山市,,イノシシ,被害金額,6035,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-9,,,館山市,,イノシシ,被害金額,8318,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-8,,,館山市,,イノシシ,被害金額,5898,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-7,,,館山市,,イノシシ,被害金額,6212,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-6,,,館山市,,イノシシ,被害金額,3820,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-5,,,館山市,,イノシシ,被害金額,2882,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-4,,,館山市,,イノシシ,被害金額,1824,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-3,,,館山市,,イノシシ,被害金額,8232,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-2,,,館山市,,イノシシ,被害金額,9535,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-1,,,館山市,,イノシシ,被害金額,5066,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,0,,,館山市,,イノシシ,被害金額,5273,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,1,,,館山市,,イノシシ,被害金額,17621,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,2,,,館山市,,イノシシ,被害金額,21163,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-11,,,南房総市,,イノシシ,被害金額,61623,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-10,,,南房総市,,イノシシ,被害金額,58431,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-9,,,南房総市,,イノシシ,被害金額,47555,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-8,,,南房総市,,イノシシ,被害金額,52736,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-7,,,南房総市,,イノシシ,被害金額,52979,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-6,,,南房総市,,イノシシ,被害金額,51082,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-5,,,南房総市,,イノシシ,被害金額,29684,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-4,,,南房総市,,イノシシ,被害金額,26408,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-3,,,南房総市,,イノシシ,被害金額,31051,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-2,,,南房総市,,イノシシ,被害金額,31363,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,-1,,,南房総市,,イノシシ,被害金額,17864,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,0,,,南房総市,,イノシシ,被害金額,24013,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,1,,,南房総市,,イノシシ,被害金額,23271,千円,
chiba_boar_damage_city,千葉県 第３次第二種特定鳥獣管理計画（イノシシ）表２,https://www.pref.chiba.lg.jp/shizen/choujuu/jigyoukeikaku/documents/3inosisikeikaku.pdf,2,,,南房総市,,イノシシ,被害金額,14429,千円,
