serial,old_label,new_label,city,op
418,仮-418,TGC-08-M151,南房総市,rename
419,仮-419,TGC-08-M152,南房総市,rename
420,仮-420,TGC-08-T252,館山市,rename
421,仮-421,TGC-08-T253,館山市,rename
422,仮-422,TGC-08-T254,館山市,rename
423,仮-423,TGC-08-M153,南房総市,rename
424,仮-424,TGC-08-T255,館山市,rename
425,仮-425,TGC-08-T256,館山市,rename
426,仮-426,TGC-08-M154,南房総市,rename
427,仮-427,TGC-08-M155,南房総市,rename
428,仮-428,TGC-08-M156,南房総市,rename
429,仮-429,TGC-08-T257,館山市,rename
430,仮-430,TGC-08-T258,館山市,rename
431,仮-431,TGC-08-T259,館山市,rename
432,仮-432,TGC-08-T260,館山市,rename
433,仮-433,TGC-08-M157,南房総市,rename
434,仮-434,TGC-08-M158,南房総市,rename
435,仮-435,TGC-08-M159,南房総市,rename
436,仮-436,TGC-08-T261,館山市,rename
437,仮-437,TGC-08-T262,館山市,rename
438,仮-438,TGC-08-T263,館山市,rename
439,仮-439,TGC-08-T264,館山市,rename
440,仮-440,TGC-08-T265,館山市,rename
441,仮-441,TGC-08-M160,南房総市,rename
442,仮-442,TGC-08-M161,南房総市,rename
443,仮-443,TGC-08-T266,館山市,rename
444,仮-444,TGC-08-M162,南房総市,rename
445,仮-445,TGC-08-M163,南房総市,rename
446,仮-446,TGC-08-M164,南房総市,rename
447,仮-447,TGC-08-M165,南房総市,rename
448,仮-448,TGC-08-M166,南房総市,rename
449,仮-449,TGC-08-T267,館山市,rename
450,仮-450,TGC-08-T268,館山市,rename
451,仮-451,TGC-08-T269,館山市,rename
452,仮-452,TGC-08-M167,南房総市,rename
453,,TGC-08-T270,館山市,create
454,,TGC-08-T271,館山市,create
455,,TGC-08-M168,南房総市,create
456,,TGC-08-M169,南房総市,create
457,,TGC-08-T272,館山市,create
